Timestamp,Role,YearsOfExperience,FamiliarityWithBIM,CurrentBIMUsage,ReasonForNoBIM,adv_centralizesInfo,adv_improvesClarity3D,adv_reducesMisunderstandings,adv_facilitatesFeedback,adv_enhancesIntegration,adv_multidisciplinaryCollab,adv_streamlinesCoordination,adv_integratedDelivery,adv_remoteCollaboration,adv_promotesTransparency,adv_speedsUpPlanning,adv_learningCurveJustified,adv_automatesTakeoff,adv_parametricModeling,adv_boostsOverallEfficiency,adv_clashDetection,adv_reducesOnSiteErrors,adv_minimizesAmbiguities,adv_visualizesComplexSystems,adv_improvesConstructability,adv_lowersCosts,adv_optimizesResourceUsage,adv_cutsDownDelays,adv_longTermSavings,adv_smootherWorkflows,chal_dataExchange,chal_disorganizedInfo,chal_outdatedInfo,chal_misinterpretation,chal_siloedWorkflows,chal_ineffectiveCoordination,chal_limitedInteroperability,chal_lackOfTrust,chal_steepLearningCurve,chal_underutilizationOfFeatures,chal_inadequateHardware,chal_insufficientTraining,chal_limitedClashKnowledge,chal_poorRoleDefinitions,chal_incompleteModels,chal_noStandardizedProtocols,chal_highInvestment,chal_difficultyProvingROI,chal_extendedTimelines,chal_misalignmentOfCosts,strat_establishCDE,strat_adoptIFC,strat_implementIPD,strat_appointBimCoordinator,strat_ongoingTraining,strat_investInHardware,strat_mandatoryClashDetection,strat_developBEP,strat_conductROIStudies,strat_integrateCostTools,ProjectsInvolved,OrganizationType,Age,Gender,Location
9/10/2025 21:08:23,Engineer,1,Somewhat familiar,Not using BIM,Not related on my field of work,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,"Residential, Commercial, Infrastructure, Industrial",Architecture/Engineering Design Firm,23,Male,Pangasinan
9/11/2025 10:02:02,Engineer,5,Somewhat familiar,Planning to adopt,N/A,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,3,5,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,5,4,4,4,3,5,5,5,3,5,5,5,3,3,4,5,4,4,4,4,"Residential, Commercial, Infrastructure, Industrial",Government/Regulatory Agency,27,Female,"La Trinidad, Benguet"
9/18/2025 8:56:37,Engineer,4,Somewhat familiar,Currently use BIM,The office use different kind of,4,5,4,5,4,5,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,4,4,4,4,3,4,3,4,3,3,Infrastructure,Government/Regulatory Agency,28,Female,"Baguio City, Benguet, 2600"
9/18/2025 9:48:30,Engineer,4,Very familiar,Planning to adopt,N/A,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,4,5,4,5,4,4,4,4,4,5,5,5,4,4,4,5,4,5,5,5,5,4,4,"Infrastructure, Industrial",Architecture/Engineering Design Firm,28,Male,Malvar' Batangas
9/18/2025 10:03:11,Engineer,0,Somewhat familiar,Currently use BIM,N/A,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,4,4,4,4,4,3,5,5,5,3,3,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,Residential,Government/Regulatory Agency,24,Male,Baguio City
9/18/2025 11:19:05,Engineer,3,Somewhat familiar,Planning to adopt,N/A,4,5,5,4,4,5,5,4,4,5,5,4,5,4,5,5,4,4,4,4,5,4,4,4,4,4,5,5,4,5,4,4,4,2,4,4,5,4,5,5,5,3,3,3,5,5,5,5,5,4,4,4,4,4,5,Residential,Architecture/Engineering Design Firm,25,Male,Tarlac
9/18/2025 12:00:35,Engineer,3,Very familiar,Currently use BIM,N/A,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,3,4,4,5,5,5,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,Infrastructure,Government/Regulatory Agency,25,Male,"San Fernando City, La Union"
9/18/2025 12:34:32,Engineer,1,Somewhat familiar,Planning to adopt,N/A,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Infrastructure,Government/Regulatory Agency,26,Male,"Baguio City, Benguet"
9/18/2025 12:38:55,Engineer,1,Somewhat familiar,Currently use BIM,N/A,5,5,5,5,4,5,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,Commercial,Client/Owner/Developer,24,Male,"Quezon City, Phillipines"
9/18/2025 12:46:23,Engineer,3,Not at all familiar,Planning to adopt,N/A,4,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,5,5,5,4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,3,4,3,4,4,3,3,3,3,4,4,3,3,4,4,4,3,4,4,5,4,Infrastructure,Construction Company/Contractor,27,Male,"Santol, La Union"
9/18/2025 12:46:45,Engineer,7,Somewhat familiar,Planning to adopt,N/A,4,4,3,4,5,4,4,4,4,3,4,4,4,4,4,4,5,3,4,4,4,3,4,4,4,5,3,4,3,3,3,4,4,3,4,4,5,4,4,3,4,4,4,3,4,4,4,3,5,5,5,4,4,4,4,"Residential, Commercial, Infrastructure",Construction Company/Contractor,31,Female,Region 1
9/18/2025 12:50:38,Client/Owner/Developer,2,Not at all familiar,Not using BIM,I am more experienced in using AutoCADD in a way that I am comfortable using the software.,4,5,5,4,3,5,4,3,5,3,5,4,5,4,4,5,4,4,5,4,3,3,5,4,3,3,5,5,3,2,3,3,3,3,4,5,5,5,4,3,3,4,4,3,4,5,4,2,5,4,3,4,3,4,4,Residential,Client/Owner/Developer,28,Male,Baguio
9/18/2025 13:28:08,Engineer,3,Somewhat familiar,Planning to adopt,N/A,3,4,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,3,4,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,3,3,"Residential, Commercial, Infrastructure",Construction Company/Contractor,27,Male,"Baguio City, Benguet"
9/18/2025 13:43:13,Engineer,9,Somewhat familiar,Currently use BIM,N/A,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,5,Industrial,Government/Regulatory Agency,31,Male,"Urdaneta City, Pangasinan"
9/18/2025 13:52:53,Engineer,0,Not at all familiar,Not using BIM,I am entirely focusing on the technical terms in office.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Infrastructure,Construction Company/Contractor,24,Female,"Quezon City, Manila"
9/18/2025 14:18:21,Engineer,1,Somewhat familiar,Currently use BIM,N/A,4,4,4,4,3,3,3,4,3,4,4,3,4,4,3,4,5,5,5,4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,5,5,4,4,4,4,"Residential, Infrastructure",Government/Regulatory Agency,23,Female,Benguet
9/18/2025 14:23:25,Architect,4,Very familiar,Currently use BIM,N/A,5,5,4,4,5,3,3,4,4,5,5,5,5,5,5,5,4,3,4,5,4,3,4,4,5,4,5,5,5,4,3,4,4,3,5,5,5,5,4,5,4,4,4,3,4,3,4,4,3,5,5,5,5,5,4,"Residential, Commercial, Infrastructure",Architecture/Engineering Design Firm,27,Male,"Cabanatuan City, Nueva Ecija"
9/18/2025 14:51:47,Engineer,2,Somewhat familiar,Planning to adopt,N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Infrastructure,Government/Regulatory Agency,28,Male,Baguio City
9/18/2025 15:08:11,Engineer,5,Somewhat familiar,Not using BIM,"Actually, we are currently not using systems or softwares that are heavily focused on building information modeling like Revit or Tekla structures. In our case, our company is simply using CAD tools and applications to deliver enough information for a project.

We do use Civil 3D and some GIS applications but I've barely seen our engineers use it properly for building information modeling during construction.

I don't think our company would adopt using BIM because of the unease of complex modeling procedures that needs to be learned and integrated into our current system of work. ",3,5,4,3,3,4,3,3,3,3,3,4,3,4,3,4,5,4,4,4,3,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,3,3,4,4,5,5,5,5,4,3,4,5,3,4,"Infrastructure, Industrial",Consulting/Project Management Firm,32,Male,Baguio City
9/18/2025 15:11:59,Engineer,2,Somewhat familiar,Planning to adopt,N/A,4,5,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,3,4,4,5,4,4,4,4,5,4,4,5,4,4,5,5,5,5,4,4,5,4,"Residential, Infrastructure",Architecture/Engineering Design Firm,28,Male,"Calbayog City, Samar"
9/18/2025 15:23:03,Engineer,3,Somewhat familiar,Planning to adopt,N/A,4,5,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,3,4,3,4,4,3,4,4,4,3,4,3,3,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4,3,4,"Residential, Commercial, Infrastructure, Industrial",Government/Regulatory Agency,27,Male,Ilocos
9/18/2025 15:41:27,Engineer,2,Very familiar,Currently use BIM,N/A,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,4,4,5,3,4,5,4,5,5,5,5,5,5,3,4,5,3,5,5,5,5,5,5,2,5,5,4,5,4,5,5,5,5,5,5,5,5,5,"Residential, Industrial",Government/Regulatory Agency,25,Female,Abra
9/18/2025 16:28:08,Engineer,3,Somewhat familiar,Planning to adopt,N/A,4,4,4,3,4,4,4,4,3,3,4,4,5,4,4,4,5,3,4,4,3,4,5,3,3,5,4,4,2,3,3,3,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4,3,5,5,4,4,5,4,5,"Residential, Infrastructure",Construction Company/Contractor,26,Male,Ilocos Sur
9/18/2025 19:12:46,Contractor,8,Not at all familiar,Planning to adopt,N/A,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,4,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,"Residential, Commercial",Construction Company/Contractor,32,Female,"Baguio City, Benguet"
9/18/2025 19:13:11,Engineer,3,Somewhat familiar,Planning to adopt,N/A,4,5,4,4,5,5,4,5,5,4,5,5,4,3,4,4,5,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Residential, Infrastructure",Government/Regulatory Agency,26,Male,Zambales
9/18/2025 19:28:17,Other,0,Somewhat familiar,Planning to adopt,N/A,5,5,5,4,4,5,5,4,5,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,3,5,4,3,3,3,5,4,3,5,5,5,5,5,5,5,4,4,3,4,4,4,4,5,5,5,5,5,4,4,Residential,Other,23,Male,Baguio City
9/18/2025 19:47:02,Engineer,5,Somewhat familiar,Currently use BIM,N/A,4,5,4,4,4,4,4,4,4,5,5,3,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,3,3,3,3,3,2,3,3,4,3,4,3,3,2,3,3,3,4,4,4,3,4,4,4,4,5,4,Infrastructure,Construction Company/Contractor,26,Male,Laguna
9/18/2025 20:16:07,Engineer,2,Very familiar,Currently use BIM,N/A,4,4,4,5,5,4,4,3,4,4,3,4,3,5,5,4,4,3,3,5,4,4,4,3,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4,5,5,5,3,5,3,5,5,5,5,5,5,5,5,4,3,Residential,Client/Owner/Developer,25,Male,"Taguig, Manila"
9/18/2025 21:59:55,Engineer,2,Somewhat familiar,Planning to adopt,N/A,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Infrastructure,Other,26,Female,"Urdaneta City, Pangasinan"
9/20/2025 13:58:38,Engineer,2,Somewhat familiar,Currently use BIM,N/A,4,4,4,3,4,4,3,3,4,3,4,3,4,3,4,3,3,3,4,4,4,3,3,3,4,4,3,4,2,4,3,3,4,4,4,4,4,4,4,3,4,5,5,3,4,5,4,4,5,5,5,5,5,5,5,"Residential, Commercial",Construction Company/Contractor,24,Female,"Mabalacat City, Pampanga"
1/2/2026 19:55:02,Engineer,5,Somewhat familiar,Currently use BIM,N/A,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,4,4,3,5,4,4,4,4,4,5,4,5,4,5,4,3,5,3,5,4,5,4,4,4,4,5,4,5,3,5,5,4,5,4,"Residential, Commercial, Infrastructure, Industrial",Consulting/Project Management Firm,28,Male,Dubai
1/2/2026 20:00:01,Engineer,3,Somewhat familiar,Planning to adopt,N/A,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Residential, Commercial, Infrastructure",Construction Company/Contractor,27,Male,Baguio City
1/2/2026 20:06:20,Engineer,15,Somewhat familiar,Planning to adopt,N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,4,3,2,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Residential, Commercial, Infrastructure",Construction Company/Contractor,42,Female,Baguio
1/2/2026 20:19:36,Engineer,0,Not at all familiar,Not using BIM,Not involved in the construction industry.,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Residential, Commercial",Other,38,Male,Baguio City
1/2/2026 20:37:02,Project Manager,9,Somewhat familiar,Planning to adopt,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,4,5,4,4,5,5,5,5,5,5,4,4,3,5,3,4,4,5,5,5,5,5,5,5,"Residential, Infrastructure",Construction Company/Contractor,30,Female,Projects Byt Handle Australian Projects
1/2/2026 21:12:18,Engineer,2,Somewhat familiar,Planning to adopt,N/A,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,Infrastructure,Construction Company/Contractor,26,Male,Bugallon Pangasinan
1/2/2026 21:24:17,Other,4,Not at all familiar,Not using BIM,Our projects doesnt need BIM,4,5,5,4,5,3,4,3,4,4,4,3,5,4,4,4,4,4,5,4,4,5,4,4,4,3,3,3,3,4,5,3,4,4,3,4,5,4,5,4,4,4,4,5,4,4,4,3,4,4,5,5,4,5,4,Residential,Construction Company/Contractor,31,Male,Baguio City
1/2/2026 21:58:41,Engineer,2,Not at all familiar,Currently use BIM,N/A,5,5,5,5,5,5,5,4,4,4,5,4,5,4,4,4,5,4,4,3,3,3,4,4,4,4,4,5,4,3,4,4,4,4,4,4,5,4,4,4,4,3,3,3,3,4,4,4,5,5,5,4,4,4,4,"Commercial, Industrial",Construction Company/Contractor,28,Male,Bulacan
1/2/2026 22:52:10,Engineer,5,Somewhat familiar,Planning to adopt,N/A,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,Infrastructure,Government/Regulatory Agency,27,Male,"Lingayen, Pangasinan"
1/2/2026 23:10:08,BIM Manager/Coordinator,8,Somewhat familiar,Currently use BIM,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,4,3,5,5,5,5,5,5,5,5,4,4,5,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,"Residential, Commercial, Infrastructure",Consulting/Project Management Firm,29,Male,Makati City
1/3/2026 5:08:56,Project Manager,3,Somewhat familiar,Currently use BIM,N/A,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,5,4,3,4,3,4,3,4,4,4,3,4,5,5,4,4,4,4,4,4,3,4,4,5,4,5,4,4,4,4,4,4,"Residential, Commercial, Infrastructure, Industrial",Construction Company/Contractor,28,Male,"Saskatchewan, Canada"
1/3/2026 5:27:56,Other,22,Very familiar,Currently use BIM,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,4,4,3,5,5,4,5,5,5,5,5,4,3,3,5,5,5,5,4,5,5,5,5,4,Infrastructure,Architecture/Engineering Design Firm,45,Female,Overseas
1/3/2026 10:43:46,Engineer,5,Somewhat familiar,Planning to adopt,N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,"Residential, Commercial, Infrastructure",Construction Company/Contractor,28,Male,"Capas, Tarlac"
1/3/2026 11:16:59,Engineer,2,Not at all familiar,Planning to adopt,N/A,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,2,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Residential, Commercial, Infrastructure",Client/Owner/Developer,25,Male,"Quezon City, Metro Manila"
1/3/2026 11:41:28,Project Manager,6,Very familiar,Currently use BIM,N/A,4,5,3,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,2,2,2,1,4,4,2,2,3,2,2,2,2,3,3,3,4,4,4,4,5,5,4,4,4,4,"Residential, Commercial",Consulting/Project Management Firm,29,Male,"Baguio City, Benguet"
1/3/2026 11:51:36,Engineer,8,Somewhat familiar,Currently use BIM,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,5,5,3,2,4,3,3,3,4,4,2,2,4,2,3,2,4,4,4,4,4,5,5,5,5,4,4,4,Infrastructure,Architecture/Engineering Design Firm,30,Male,"Dagupan City, Pangasinan"
1/3/2026 13:32:50,Engineer,1,Somewhat familiar,Planning to adopt,N/A,4,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,3,4,5,4,4,4,4,5,4,4,4,5,4,5,5,5,5,5,5,4,5,"Residential, Commercial",Government/Regulatory Agency,24,Male,"Camiling, Tarlac"
1/3/2026 15:32:04,Client/Owner/Developer,10,Somewhat familiar,Currently use BIM,N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,4,4,4,4,5,5,4,4,4,4,"Residential, Commercial, Infrastructure, Industrial",Client/Owner/Developer,32,Prefer not to say,Central Luzon
1/3/2026 15:44:39,Engineer,8,Somewhat familiar,Planning to adopt,N/A,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,3,4,4,5,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,"Commercial, Infrastructure",Construction Company/Contractor,32,Male,Mountain Province
1/3/2026 15:48:51,Engineer,5,Not at all familiar,Planning to adopt,N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,"Residential, Infrastructure",Government/Regulatory Agency,28,Male,"Bangued, Abra"
1/3/2026 17:07:59,Engineer,4,Somewhat familiar,Not using BIM,"Planning to adopt,since im a Government employee, ung BIM ginagamit siya pag sa PPP.",4,4,4,4,5,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,4,4,3,3,3,3,Infrastructure,Government/Regulatory Agency,29,Male,Baguio City
1/3/2026 17:30:06,Engineer,3,Somewhat familiar,Not using BIM,Because our company is build proj. Only,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Infrastructure,Construction Company/Contractor,27,Male,Pampanga
1/3/2026 17:45:21,Engineer,3,Very familiar,Planning to adopt,N/A,5,4,4,4,4,5,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,3,5,5,3,3,4,4,2,2,4,4,4,5,3,4,2,4,2,3,4,4,4,4,4,4,5,4,4,4,4,"Residential, Commercial, Infrastructure, Industrial",Architecture/Engineering Design Firm,27,Male,Quezon City
1/3/2026 18:28:43,Architect,8,Somewhat familiar,Planning to adopt,N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,"Residential, Commercial",Architecture/Engineering Design Firm,44,Male,"Baguio City, Benguet"
1/3/2026 20:07:34,Engineer,4,Somewhat familiar,Planning to adopt,N/A,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,5,5,4,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,Infrastructure,Government/Regulatory Agency,26,Male,Pangasinan
